entry_line_key,voucher_natural_key,posting_date,voucher_type,voucher_number,voucher_entry_mode,party_ledger_name,gst_registration_name,company_state,ledger_name,credit_period,ledger_group_name,primary_group_name,is_party_ledger_line,has_cost_centres_on_ledger,cost_centre_name,narration,destination,currency,amount_absolute,amount_tally_signed,debit_credit_flag,signed_amount_debit_positive,pan,pan_derived_from_gstin,gstin,udyam_registration_number,msme_enterprise_category,msme_activity_type,msme_effective_from,party_entity_type,bill_to_name,bill_to_address,bill_to_state,bill_to_pin,ship_to_name,ship_to_address,ship_to_state,ship_to_pin,delivery_same_as_consignee,dispatch_same_as_consignor,eway_consignor_address,eway_consignee_address,e_way_bill_number,e_way_bill_date,e_invoice_irn,e_invoice_ack_number,e_invoice_ack_date,is_reverse_charge_applicable,is_unregistered_rcm,stock_item_name,stock_group_name,godown_name,batch_name,quantity,rate,inventory_amount,line_index,inventory_line_index,bill_line_index,ledger_opening_balance,tax_type,stock_opening_balance,stock_opening_value,bill_name,bill_date,bill_amount,bill_allocated_amount,bill_type,batch_mfg_date,batch_expiry_period,batch_tracking_number,batch_order_no,party_invoice_no,party_invoice_date,original_voucher_number,original_voucher_date,agreement_order_no,goods_vehicle_number,reference
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000008|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000008,2025-04-01,Purchase,6,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Vendor 2,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,188269.00,188269.00,Cr,-188269.00,,,24,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000008|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000008,2025-04-01,Purchase,6,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Purchases,,Purchase Accounts,Purchase Accounts,No,Yes,,,,?,159550.00,-159550.00,Dr,159550.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,Mouse,Computer and Accessories,Main Location,Primary Batch,50 Nos,3191.00/Nos,-159550.00,1,0,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000008|2|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000008,2025-04-01,Purchase,6,As Voucher,Vendor 2,Gujarat Registration,Gujarat,CGST,,Current Liabilities,Current Liabilities,No,No,,,,?,28719.00,-28719.00,Dr,28719.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,2,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000010|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000010,2025-04-01,Purchase,20,As Voucher,Vendor,Gujarat Registration,Gujarat,Vendor,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,4732.98,4732.98,Cr,-4732.98,,,,,Micro,Unknown,20250401,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000010|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000010,2025-04-01,Purchase,20,As Voucher,Vendor,Gujarat Registration,Gujarat,Purchases,,Purchase Accounts,Purchase Accounts,No,Yes,,,,?,4011.00,-4011.00,Dr,4011.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,Keyboard,Computer and Accessories,Main Location,Primary Batch,21 Nos,191.00/Nos,-4011.00,1,0,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000010|2|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000010,2025-04-01,Purchase,20,As Voucher,Vendor,Gujarat Registration,Gujarat,CGST,,Current Liabilities,Current Liabilities,No,No,,,,?,721.98,-721.98,Dr,721.98,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,2,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000018|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000018,2025-04-01,Purchase,38,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Vendor 2,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,15812.00,15812.00,Cr,-15812.00,,,24,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000018|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000018,2025-04-01,Purchase,38,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Purchases,,Purchase Accounts,Purchase Accounts,No,Yes,,,,?,13400.00,-13400.00,Dr,13400.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,Keyboard,Computer and Accessories,Main Location,Primary Batch,10 Nos,1340.00/Nos,-13400.00,1,0,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000018|2|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000018,2025-04-01,Purchase,38,As Voucher,Vendor 2,Gujarat Registration,Gujarat,CGST,,Current Liabilities,Current Liabilities,No,No,,,,?,2412.00,-2412.00,Dr,2412.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,2,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000020|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000020,2025-04-01,Receipt,2,As Voucher,Cash,Gujarat Registration,Gujarat,Cash,,Cash-in-Hand,Current Assets,Yes,No,,,,?,9700.00,-9700.00,Dr,9700.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,-578800.00,Others,,,,,,,,,,,,,,,,,,
